match_id,source,home,draw,away,last_updated
gf-031,bwin_world_cup_2026,2.1000,3.7000,3.9000,2026-06-14T18:08:03.762899+00:00
gf-031,pokerstars_world_cup_2026,1.9100,3.5000,3.5000,2026-05-11T06:48:44+00:00
gf-032,betano_world_cup_2026,1.8696,3.2000,4.0000,2026-05-11T04:21:58+00:00
gf-032,betvictor_world_cup_2026,1.8696,3.2000,4.0000,2026-05-11T04:21:58+00:00
gf-032,talksportbet_world_cup_2026,2.5500,2.0000,4.8000,2026-05-11T04:21:58+00:00
gf-032,bet365_world_cup_2026,1.8475,3.5000,3.7000,2026-05-11T06:46:20+00:00
gf-032,bwin_world_cup_2026,1.9300,3.4000,4.2000,2026-06-14T18:08:03.762899+00:00
gf-032,pokerstars_world_cup_2026,1.8500,3.3000,4.0000,2026-05-11T06:48:44+00:00
gg-037,betano_world_cup_2026,1.6154,3.7500,4.8000,2026-05-11T04:21:58+00:00
gg-037,betvictor_world_cup_2026,1.6154,3.7500,4.8000,2026-05-11T04:21:58+00:00
gg-037,talksportbet_world_cup_2026,1.6154,3.7500,4.8000,2026-05-11T04:21:58+00:00
gg-037,bet365_world_cup_2026,1.6494,3.7500,4.7500,2026-05-11T06:46:20+00:00
gg-037,bwin_world_cup_2026,2.2500,3.3000,2.9000,2026-06-15T19:25:26.850825+00:00
gg-037,pokerstars_world_cup_2026,1.5700,4.0000,5.0000,2026-05-11T06:48:44+00:00
gg-038,betano_world_cup_2026,1.6667,3.5000,4.8000,2026-05-11T04:21:58+00:00
gg-038,betvictor_world_cup_2026,1.6667,3.5000,4.8000,2026-05-11T04:21:58+00:00
gg-038,talksportbet_world_cup_2026,2.3000,2.1000,5.2500,2026-05-11T04:21:58+00:00
gg-038,bet365_world_cup_2026,1.7463,3.4000,4.2000,2026-05-11T06:46:20+00:00
gg-038,bwin_world_cup_2026,1.8000,3.4000,5.0000,2026-06-15T19:25:26.850825+00:00
gg-038,pokerstars_world_cup_2026,1.5700,3.7000,5.5000,2026-05-11T06:48:44+00:00
gh-043,betano_world_cup_2026,1.0556,9.5000,23.0000,2026-05-11T04:21:58+00:00
gh-043,betvictor_world_cup_2026,1.0556,9.5000,23.0000,2026-05-11T04:21:58+00:00
gh-043,talksportbet_world_cup_2026,1.0625,9.0000,23.0000,2026-05-11T04:21:58+00:00
gh-043,bet365_world_cup_2026,1.0909,13.0000,21.0000,2026-05-11T06:46:20+00:00
gh-043,bwin_world_cup_2026,1.2500,4.6000,16.0000,2026-06-15T16:51:55.332804+00:00
gh-043,pokerstars_world_cup_2026,1.0700,9.5000,23.0000,2026-05-11T06:48:44+00:00
gh-044,betano_world_cup_2026,6.5000,4.0000,1.4500,2026-05-11T04:21:58+00:00
gh-044,betvictor_world_cup_2026,6.5000,4.0000,1.4500,2026-05-11T04:21:58+00:00
gh-044,talksportbet_world_cup_2026,6.5000,2.2500,2.0000,2026-05-11T04:21:58+00:00
gh-044,bet365_world_cup_2026,5.7500,4.1000,1.4785,2026-05-11T06:46:20+00:00
gh-044,bwin_world_cup_2026,9.0000,4.7500,1.4700,2026-06-15T19:25:26.850825+00:00
gh-044,pokerstars_world_cup_2026,6.0000,3.9000,1.5000,2026-05-11T06:48:44+00:00
gi-049,betano_world_cup_2026,1.4000,4.2000,7.0000,2026-05-11T04:21:58+00:00
gi-049,betvictor_world_cup_2026,1.4000,4.2000,7.0000,2026-05-11T04:21:58+00:00
gi-049,talksportbet_world_cup_2026,1.4000,4.2000,7.0000,2026-05-11T04:21:58+00:00
gi-049,bet365_world_cup_2026,1.4444,4.3300,6.2500,2026-05-11T06:46:20+00:00
gi-049,bwin_world_cup_2026,1.4700,4.6000,6.5000,2026-06-16T18:02:25.337666+00:00
gi-049,pokerstars_world_cup_2026,1.4000,4.2000,6.5000,2026-05-11T06:48:44+00:00
gi-050,betano_world_cup_2026,11.5000,5.5000,1.2000,2026-05-11T04:21:58+00:00
gi-050,betvictor_world_cup_2026,11.5000,5.5000,1.2000,2026-05-11T04:21:58+00:00
gi-050,talksportbet_world_cup_2026,9.0000,2.6250,1.6667,2026-05-11T04:21:58+00:00
gi-050,bet365_world_cup_2026,8.5000,5.7500,1.2222,2026-05-11T06:46:20+00:00
gi-050,bwin_world_cup_2026,15.5000,7.5000,1.2400,2026-06-16T18:02:25.337666+00:00
gi-050,pokerstars_world_cup_2026,9.5000,5.5000,1.2500,2026-05-11T06:48:44+00:00
gj-055,betano_world_cup_2026,1.3636,4.2000,8.0000,2026-05-11T04:21:58+00:00
gj-055,betvictor_world_cup_2026,1.3636,4.2000,8.0000,2026-05-11T04:21:58+00:00
gj-055,talksportbet_world_cup_2026,1.3636,4.2000,8.0000,2026-05-11T04:21:58+00:00
gj-055,bet365_world_cup_2026,1.3788,4.3300,7.0000,2026-05-11T06:46:20+00:00
gj-055,bwin_world_cup_2026,1.4400,4.7500,7.0000,2026-06-16T18:02:25.337666+00:00
gj-055,pokerstars_world_cup_2026,1.3300,4.5000,8.0000,2026-05-11T06:48:44+00:00
gj-056,betano_world_cup_2026,1.3000,4.8000,8.5000,2026-05-11T04:21:58+00:00
gj-056,betvictor_world_cup_2026,1.3000,4.8000,8.5000,2026-05-11T04:21:58+00:00
gj-056,talksportbet_world_cup_2026,1.2857,5.0000,8.5000,2026-05-11T04:21:58+00:00
gj-056,bet365_world_cup_2026,1.2994,4.7500,9.0000,2026-05-11T06:46:20+00:00
gj-056,bwin_world_cup_2026,1.3700,5.2500,8.2500,2026-06-16T18:02:25.337666+00:00
gj-056,pokerstars_world_cup_2026,1.2500,5.0000,9.5000,2026-05-11T06:48:44+00:00
gk-061,bet365_world_cup_2026,1.2695,5.0000,10.0000,2026-05-11T06:46:20+00:00
gk-061,bwin_world_cup_2026,1.5200,3.2000,9.2500,2026-06-17T18:08:13.121373+00:00
gk-061,pokerstars_world_cup_2026,1.2200,5.5000,9.5000,2026-05-11T06:48:44+00:00
gk-062,bet365_world_cup_2026,7.0000,4.5000,1.3788,2026-05-11T06:46:20+00:00
gk-062,bwin_world_cup_2026,8.5000,4.7500,1.3900,2026-06-17T18:08:13.121373+00:00
gk-062,pokerstars_world_cup_2026,8.0000,4.5000,1.3300,2026-05-11T06:48:44+00:00
gl-067,bet365_world_cup_2026,1.6494,3.7000,4.5000,2026-05-11T06:46:20+00:00
gl-067,bwin_world_cup_2026,1.7000,3.7500,5.2500,2026-06-17T18:08:13.121373+00:00
gl-067,pokerstars_world_cup_2026,1.6200,3.7000,5.0000,2026-05-11T06:48:44+00:00
gl-068,bet365_world_cup_2026,2.0000,3.3000,3.4000,2026-05-11T06:46:20+00:00
gl-068,bwin_world_cup_2026,2.4000,3.3000,3.5000,2026-06-17T18:08:13.121373+00:00
gl-068,pokerstars_world_cup_2026,1.9500,3.3000,3.7000,2026-05-11T06:48:44+00:00
gb-009,pokerstars_world_cup_2026,1.6000,3.9000,4.7500,2026-05-11T06:48:44+00:00
ge-027,pokerstars_world_cup_2026,1.5000,4.1000,5.5000,2026-05-11T06:48:44+00:00
ge-028,pokerstars_world_cup_2026,1.1700,5.5000,14.0000,2026-05-11T06:48:44+00:00
gf-033,pokerstars_world_cup_2026,1.6700,3.8000,4.5000,2026-05-11T06:48:44+00:00
gf-034,pokerstars_world_cup_2026,4.7500,3.3000,1.7300,2026-05-11T06:48:44+00:00
gg-040,pokerstars_world_cup_2026,4.7500,3.5000,1.6700,2026-05-11T06:48:44+00:00
gh-045,pokerstars_world_cup_2026,1.1200,7.0000,15.0000,2026-05-11T06:48:44+00:00
gh-046,pokerstars_world_cup_2026,1.4000,4.1000,6.5000,2026-05-11T06:48:44+00:00
gi-052,pokerstars_world_cup_2026,2.0000,3.4000,3.2000,2026-05-11T06:48:44+00:00
gj-057,pokerstars_world_cup_2026,1.5500,3.8000,5.5000,2026-05-11T06:48:44+00:00
gj-058,pokerstars_world_cup_2026,5.5000,4.0000,1.5000,2026-05-11T06:48:44+00:00
gk-064,pokerstars_world_cup_2026,1.4000,4.1000,7.0000,2026-05-11T06:48:44+00:00
gl-069,pokerstars_world_cup_2026,1.2900,4.7500,8.5000,2026-05-11T06:48:44+00:00
gl-070,pokerstars_world_cup_2026,7.0000,4.5000,1.3300,2026-05-11T06:48:44+00:00
ga-001,sportytrader_world_cup_2026,1.5500,4.3000,6.7500,2026-05-11T09:39:36+00:00
ga-002,sportytrader_world_cup_2026,2.7500,3.2500,2.7800,2026-05-11T09:39:36+00:00
ga-003,sportytrader_world_cup_2026,2.1000,3.5000,5.2000,2026-05-11T09:39:36+00:00
gb-007,sportytrader_world_cup_2026,1.8400,3.8200,4.4000,2026-05-11T09:39:36+00:00
gb-008,sportytrader_world_cup_2026,11.5000,5.8000,1.3000,2026-05-11T09:39:36+00:00
gb-009,sportytrader_world_cup_2026,1.6900,4.0000,5.8000,2026-05-11T09:39:36+00:00
gc-013,sportytrader_world_cup_2026,1.6200,4.2000,6.0000,2026-05-11T09:39:36+00:00
gc-014,sportytrader_world_cup_2026,7.7500,4.8000,1.4700,2026-05-11T09:39:36+00:00
gc-015,sportytrader_world_cup_2026,4.0000,3.2600,2.0600,2026-05-11T09:39:36+00:00
gc-016,sportytrader_world_cup_2026,1.0600,13.0000,60.0000,2026-05-11T09:39:36+00:00
gd-019,sportytrader_world_cup_2026,2.0600,3.5500,3.7500,2026-05-11T09:39:36+00:00
gd-020,sportytrader_world_cup_2026,4.8400,3.7000,1.8600,2026-05-11T09:39:36+00:00
gd-022,sportytrader_world_cup_2026,2.1700,3.4000,4.0000,2026-05-11T09:39:36+00:00
gd-023,sportytrader_world_cup_2026,2.6600,3.4500,2.5600,2026-05-11T09:39:36+00:00
ge-025,sportytrader_world_cup_2026,1.0400,21.0000,55.0000,2026-05-11T09:39:36+00:00
ge-026,sportytrader_world_cup_2026,3.5500,3.2000,2.4500,2026-05-11T09:39:36+00:00
ge-027,sportytrader_world_cup_2026,1.6200,4.3000,5.8000,2026-05-11T09:39:36+00:00
ge-028,sportytrader_world_cup_2026,1.2800,6.0000,16.0000,2026-05-11T09:39:36+00:00
gf-031,sportytrader_world_cup_2026,2.0600,3.6800,3.7800,2026-05-11T09:39:36+00:00
gf-032,sportytrader_world_cup_2026,2.0000,3.5000,4.1000,2026-05-11T09:39:36+00:00
gf-033,sportytrader_world_cup_2026,1.7600,3.9000,4.7000,2026-05-11T09:39:36+00:00
gf-034,sportytrader_world_cup_2026,5.2500,3.5000,1.8500,2026-05-11T09:39:36+00:00
gg-037,sportytrader_world_cup_2026,1.7000,4.1000,5.2500,2026-05-11T09:39:36+00:00
gg-038,sportytrader_world_cup_2026,1.7800,3.7500,5.2500,2026-05-11T09:39:36+00:00
gg-039,sportytrader_world_cup_2026,1.4700,4.3000,7.2000,2026-05-11T09:39:36+00:00
gg-040,sportytrader_world_cup_2026,5.2500,3.8000,1.7400,2026-05-11T09:39:36+00:00
gh-043,sportytrader_world_cup_2026,1.1100,13.0000,29.0000,2026-05-11T09:39:36+00:00
gh-044,sportytrader_world_cup_2026,6.6000,4.3000,1.5500,2026-05-11T09:39:36+00:00
gh-045,sportytrader_world_cup_2026,1.1800,7.7500,21.0000,2026-05-11T09:39:36+00:00
gh-046,sportytrader_world_cup_2026,1.4800,4.4400,7.4000,2026-05-11T09:39:36+00:00
gi-049,sportytrader_world_cup_2026,1.4700,4.6000,7.3000,2026-05-11T09:39:36+00:00
gi-050,sportytrader_world_cup_2026,13.0000,6.2000,1.3000,2026-05-11T09:39:36+00:00
gi-051,sportytrader_world_cup_2026,1.1800,8.4000,22.0000,2026-05-11T09:39:36+00:00
gi-052,sportytrader_world_cup_2026,2.1500,3.6000,3.7500,2026-05-11T09:39:36+00:00
gj-055,sportytrader_world_cup_2026,1.4300,4.7000,9.0000,2026-05-11T09:39:36+00:00
gj-056,sportytrader_world_cup_2026,1.3700,5.4000,10.0000,2026-05-11T09:39:36+00:00
gj-057,sportytrader_world_cup_2026,1.6200,4.0000,6.4000,2026-05-11T09:39:36+00:00
gj-058,sportytrader_world_cup_2026,6.8000,4.1000,1.6200,2026-05-11T09:39:36+00:00
gk-061,sportytrader_world_cup_2026,1.3100,5.8000,11.0000,2026-05-11T09:39:36+00:00
gk-062,sportytrader_world_cup_2026,8.5000,4.8000,1.4300,2026-05-11T09:39:36+00:00
gk-063,sportytrader_world_cup_2026,1.2800,6.4000,12.0000,2026-05-11T09:39:36+00:00
gk-064,sportytrader_world_cup_2026,1.5400,4.2800,7.5000,2026-05-11T09:39:36+00:00
gl-067,sportytrader_world_cup_2026,1.7200,3.9500,5.2500,2026-05-11T09:39:36+00:00
gl-068,sportytrader_world_cup_2026,2.1000,3.7400,3.9000,2026-05-11T09:39:36+00:00
gl-069,sportytrader_world_cup_2026,1.3800,5.2500,9.5000,2026-05-11T09:39:36+00:00
gl-070,sportytrader_world_cup_2026,8.4000,4.6000,1.4400,2026-05-11T09:39:36+00:00
ga-001,oddschecker_us_world_cup_2026,1.5405,4.2000,7.0000,2026-05-12T10:30:00+00:00
ga-002,oddschecker_us_world_cup_2026,2.7000,3.2000,2.7500,2026-05-12T10:30:00+00:00
gb-007,oddschecker_us_world_cup_2026,1.8333,3.8000,4.8000,2026-05-12T10:30:00+00:00
gd-019,oddschecker_us_world_cup_2026,2.0500,3.6000,3.7000,2026-05-12T10:30:00+00:00
gb-008,oddschecker_us_world_cup_2026,11.0000,5.7500,1.2985,2026-05-12T10:30:00+00:00
gc-013,oddschecker_us_world_cup_2026,1.6250,4.1000,6.0000,2026-05-12T10:30:00+00:00
gc-014,oddschecker_us_world_cup_2026,8.0000,4.9000,1.4348,2026-05-12T10:30:00+00:00
gd-020,oddschecker_us_world_cup_2026,4.8000,3.6500,1.8333,2026-05-12T10:30:00+00:00
ge-025,oddschecker_us_world_cup_2026,1.0500,19.0000,41.0000,2026-05-12T10:30:00+00:00
gf-031,oddschecker_us_world_cup_2026,2.0500,3.6000,3.6000,2026-05-12T10:30:00+00:00
ge-026,oddschecker_us_world_cup_2026,3.5000,3.2000,2.4000,2026-05-12T10:30:00+00:00
gf-032,oddschecker_us_world_cup_2026,1.9091,3.5000,4.3300,2026-05-12T10:30:00+00:00
gh-043,oddschecker_us_world_cup_2026,1.1000,13.0000,31.0000,2026-05-12T10:30:00+00:00
gg-037,oddschecker_us_world_cup_2026,1.6897,4.0000,5.1000,2026-05-12T10:30:00+00:00
gh-044,oddschecker_us_world_cup_2026,7.0000,4.3000,1.5128,2026-05-12T10:30:00+00:00
gg-038,oddschecker_us_world_cup_2026,1.7407,3.9000,5.8000,2026-05-12T10:30:00+00:00
gi-049,oddschecker_us_world_cup_2026,1.4545,4.4000,7.5000,2026-05-12T10:30:00+00:00
gi-050,oddschecker_us_world_cup_2026,13.0000,6.0000,1.3333,2026-05-12T10:30:00+00:00
gj-055,oddschecker_us_world_cup_2026,1.4082,4.6000,9.0000,2026-05-12T10:30:00+00:00
gj-056,oddschecker_us_world_cup_2026,1.3497,5.2500,11.0000,2026-05-12T10:30:00+00:00
gk-061,oddschecker_us_world_cup_2026,1.3333,5.7000,12.0000,2026-05-12T10:30:00+00:00
gl-067,oddschecker_us_world_cup_2026,1.6897,3.9500,5.3000,2026-05-12T10:30:00+00:00
gk-062,oddschecker_us_world_cup_2026,8.0000,4.6000,1.4348,2026-05-12T10:30:00+00:00
gl-068,oddschecker_us_world_cup_2026,2.0500,3.7500,4.0000,2026-05-12T10:30:00+00:00
ga-003,oddschecker_us_world_cup_2026,2.0600,3.3000,4.0000,2026-05-12T10:30:00+00:00
gc-016,oddschecker_us_world_cup_2026,1.0500,13.0000,41.0000,2026-05-12T10:30:00+00:00
gf-033,oddschecker_us_world_cup_2026,1.7500,4.1500,4.7500,2026-06-20T12:01:00+00:00
gb-009,oddschecker_us_world_cup_2026,1.5319,4.0000,5.5000,2026-05-12T10:30:00+00:00
gi-051,oddschecker_us_world_cup_2026,1.1250,7.5000,26.0000,2026-05-12T10:30:00+00:00
gk-064,oddschecker_us_world_cup_2026,1.5263,3.9000,7.5000,2026-05-12T10:30:00+00:00
gc-015,odds_school_world_cup_2026,3.7600,3.3000,2.2200,2026-05-12T15:30:00+00:00
gd-022,odds_school_world_cup_2026,2.3000,3.2800,3.6400,2026-05-12T15:30:00+00:00
gg-039,odds_school_world_cup_2026,1.4800,4.7000,8.0000,2026-05-12T15:30:00+00:00
gk-063,odds_school_world_cup_2026,1.2800,7.0000,17.0000,2026-05-12T15:30:00+00:00
gd-023,wincomparator_world_cup_2026,2.6200,3.4000,2.5200,2026-05-14T16:10:00+00:00
ga-004,pokerstars_world_cup_2026,1.8500,3.3000,3.9000,2026-05-11T06:48:44+00:00
ga-004,sportytrader_world_cup_2026,1.9500,3.5500,4.4000,2026-05-11T09:39:36+00:00
ga-004,bwin_world_cup_2026,2.1000,3.5000,4.1000,2026-06-18T19:31:32.274000+00:00
gb-010,bwin_world_cup_2026,1.3100,5.7500,9.5000,2026-06-18T19:31:32.274000+00:00
gc-015,bwin_world_cup_2026,5.7500,3.8000,1.7500,2026-06-19T12:25:26.779473+00:00
gc-016,bwin_world_cup_2026,1.1100,11.0000,21.0000,2026-06-19T12:25:26.779473+00:00
gd-021,bwin_world_cup_2026,1.6100,4.1000,5.5000,2026-06-19T18:29:48+00:00
gd-022,bwin_world_cup_2026,2.0500,3.4000,3.7500,2026-06-19T12:25:26.779473+00:00
gd-023,bwin_world_cup_2026,2.6500,3.2500,2.3000,2026-06-18T19:31:32.274000+00:00
ge-027,bwin_world_cup_2026,1.5500,4.4000,5.5000,2026-06-18T19:31:32.274000+00:00
ge-028,bwin_world_cup_2026,1.1200,10.5000,23.0000,2026-06-18T19:31:32.274000+00:00
gf-033,bwin_world_cup_2026,1.7200,3.8000,4.8000,2026-06-18T19:31:32.274000+00:00
gf-034,bwin_world_cup_2026,6.5000,4.1000,1.5500,2026-06-18T19:31:32.274000+00:00
gg-039,bwin_world_cup_2026,1.4300,4.8000,7.2500,2026-06-21T18:15:36.005692+00:00
gg-040,bwin_world_cup_2026,6.5000,4.2000,1.6500,2026-06-21T18:15:36.005692+00:00
gh-045,bwin_world_cup_2026,1.0900,12.5000,23.0000,2026-06-21T12:35:53+00:00
gh-046,bwin_world_cup_2026,1.4300,4.3300,8.5000,2026-06-21T18:15:36.005692+00:00
gi-051,bwin_world_cup_2026,1.1000,11.0000,29.0000,2026-06-18T19:31:32.274000+00:00
gi-052,bwin_world_cup_2026,2.4000,3.4000,2.9000,2026-06-18T19:31:32.274000+00:00
gj-057,bwin_world_cup_2026,1.5700,4.1000,6.0000,2026-06-18T19:31:32.274000+00:00
gj-058,bwin_world_cup_2026,5.7500,4.0000,1.6000,2026-06-18T19:31:32.274000+00:00
gk-063,bwin_world_cup_2026,1.2200,7.0000,13.0000,2026-06-18T19:31:32.274000+00:00
gk-064,bwin_world_cup_2026,1.4300,3.8000,6.5000,2026-06-18T19:31:32.274000+00:00
gl-069,bwin_world_cup_2026,1.2200,6.5000,14.0000,2026-06-18T19:31:32.274000+00:00
gl-070,bwin_world_cup_2026,6.5000,4.0000,1.5500,2026-06-18T19:31:32.274000+00:00
ge-027,oddschecker_us_world_cup_2026,1.5300,4.8000,6.1500,2026-06-20T12:01:00+00:00
ge-028,oddschecker_us_world_cup_2026,1.1800,8.5000,19.0000,2026-06-20T22:03:21+00:00
gf-034,oddschecker_us_world_cup_2026,7.7000,4.4000,1.4900,2026-06-20T22:03:21+00:00
gf-033,bettors_club_world_cup_2026,1.6900,3.9000,5.0000,2026-06-20T12:01:00+00:00
ge-027,bettors_club_world_cup_2026,1.5200,4.5000,5.9000,2026-06-20T12:01:00+00:00
gf-034,bettors_club_world_cup_2026,7.5000,4.1700,1.4900,2026-06-20T22:03:21+00:00
ge-028,matchen_nu_world_cup_2026,1.1400,8.4000,19.7500,2026-06-20T22:03:21+00:00
gg-039,oddschecker_us_world_cup_2026,1.4167,4.8000,8.0000,2026-06-21T12:42:30+00:00
gg-040,oddschecker_us_world_cup_2026,6.5000,4.1000,1.5714,2026-06-21T12:42:30+00:00
gh-045,oddschecker_us_world_cup_2026,1.1000,12.0000,26.0000,2026-06-21T12:42:30+00:00
gh-046,oddschecker_us_world_cup_2026,1.4444,4.3000,9.0000,2026-06-21T12:42:30+00:00
ga-005,bwin_world_cup_2026,3.7500,3.7500,1.9300,2026-06-24T05:50:48.620480+00:00
ga-006,bwin_world_cup_2026,5.2500,3.8000,1.6800,2026-06-24T05:50:48.620480+00:00
gb-011,bwin_world_cup_2026,2.3500,3.1000,3.3000,2026-06-24T05:50:48.620480+00:00
gb-012,bwin_world_cup_2026,1.4100,5.2500,7.0000,2026-06-24T05:50:48.620480+00:00
